initial_diameter_um,time_ms,T_K,p_Pa,rho_kg_m3,O2_fraction,C7H16_fraction,vel_mag_m_s,distance_from_inlet_m,radial_distance_m
10,0.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01
10,1.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01
10,2.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01
10,3.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01
10,4.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01
10,5.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01
10,6.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01
10,7.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01
10,8.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01
10,9.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01
10,10.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01
10,0.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005
10,1.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005
10,2.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005
10,3.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005
10,4.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005
10,5.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005
10,6.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005
10,7.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005
10,8.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005
10,9.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005
10,10.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005
10,0.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0
10,1.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0
10,2.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0
10,3.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0
10,4.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0
10,5.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0
10,6.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0
10,7.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0
10,8.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0
10,9.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0
10,10.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0
10,0.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0003286513203032986,-0.0025000000000000005,0.018027756377319945
10,1.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0003286513203032986,-0.0025000000000000005,0.018027756377319945
10,2.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0003286513203032986,-0.0025000000000000005,0.018027756377319945
10,3.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0003286513203032986,-0.0025000000000000005,0.018027756377319945
10,4.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0003286513203032986,-0.0025000000000000005,0.018027756377319945
10,5.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0003286513203032986,-0.0025000000000000005,0.018027756377319945
10,6.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0003286513203032986,-0.0025000000000000005,0.018027756377319945
10,7.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0003286513203032986,-0.0025000000000000005,0.018027756377319945
10,8.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0003286513203032986,-0.0025000000000000005,0.018027756377319945
10,9.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0003286513203032986,-0.0025000000000000005,0.018027756377319945
10,10.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0003286513203032986,-0.0025000000000000005,0.018027756377319945
10,0.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896
10,1.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896
10,2.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896
10,3.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896
