diameter_um,evaporation_time_ms,emissions_proxy
0.014480074383433877,7.0000306694496806e-06,0.0024938312055728957
0.013120300349277914,7.0000306694496806e-06,0.0022451463472809158
0.011743209503029275,7.0000306694496806e-06,0.001996461488988936
0.01034812290322866,7.0000306694496806e-06,0.0017477766306969577
0.008934316048054614,7.0000306694496806e-06,0.0014990917724049778
0.007501014476586784,7.0000306694496806e-06,0.0012504069141129979
0.006047388808497603,7.0000306694496806e-06,0.001001722055821018
0.004572549131977827,7.0000306694496806e-06,0.0007530371975290381
0.0030755386320654304,7.0000306694496806e-06,0.0005043523392370582
0.0015553263298064834,7.0000306694496806e-06,0.00025566748094507825
1.0798775716594489e-05,7.0000306694496806e-06,6.982622653098347e-06
0.014480074383433877,6.944564279427051e-06,0.0024937758771193877
0.0131202928354867,6.944564279427051e-06,0.002245091018827408
0.01174319428161609,6.944564279427051e-06,0.0019964061605354296
0.010348099768814137,6.944564279427051e-06,0.0017477213022434497
0.008934284782663518,6.944564279427051e-06,0.0014990364439514698
0.007500974848472897,6.944564279427051e-06,0.00125035158565949
0.006047340570820375,6.944564279427051e-06,0.00100166672736751
0.00457249202130737,6.944564279427051e-06,0.0007529818690755301
0.0030754723666877593,6.944564279427051e-06,0.0005042970107835502
0.0015552506077942119,6.944564279427051e-06,0.00025561215249157027
1.0713272724963141e-05,6.944564279427051e-06,6.927294199590359e-06
0.014480074383433877,6.944627352512001e-06,0.0024937759400356207
0.01312029284403099,6.944627352512001e-06,0.0022450910817436408
0.011743194298925064,6.944627352512001e-06,0.001996406223451661
0.010348099795121357,6.944627352512001e-06,0.001747721365159681
0.008934284818216884,6.944627352512001e-06,0.001499036506867701
0.007500974893535892,6.944627352512001e-06,0.0012503516485757211
0.006047340625673678,6.944627352512001e-06,0.0010016667902837412
0.004572492086250629,6.944627352512001e-06,0.0007529819319917613
0.003075472442041219,6.944627352512001e-06,0.0005042970736997814
0.0015552506939013055,6.944627352512001e-06,0.0002556122154078015
1.0713369954465368e-05,6.944627352512001e-06,6.927357115821611e-06
0.014480074383433877,5.893750184166394e-06,0.0024927276762396686
0.013120150470569178,5.893750184166394e-06,0.0022440428179476887
0.011742905879031276,5.893750184166394e-06,0.0019953579596557088
0.010347661436972466,5.893750184166394e-06,0.0017466731013637288
0.008933692391292047,5.893750184166394e-06,0.001497988243071749
0.007500224006343467,5.893750184166394e-06,0.0012493033847797725
0.006046426600672894,5.893750184166394e-06,0.0010006185264877926
0.004571409931519346,5.893750184166394e-06,0.0007519336681958127
0.003074216819152681,5.893750184166394e-06,0.0005032488099038328
0.0015538158813643427,5.893750184166394e-06,0.00025456395161185287
9.093221437370125e-06,5.893750184166394e-06,5.879093319873831e-06
0.014480074383433877,5.727512985992736e-06,0.0024925618524482378
0.013120127945923737,5.727512985992736e-06,0.002243876994156258
0.011742860248609835,5.727512985992736e-06,0.001995192135864278
0.01034759208501583,5.727512985992736e-06,0.001746507277572298
0.008933598664272,5.727512985992736e-06,0.0014978224192803181
0.007500105209438349,5.727512985992736e-06,0.0012491375609883382
0.006046281993799141,5.727512985992736e-06,0.0010004527026963583
0.0045712387248482145,5.727512985992736e-06,0.0007517678444043784
0.0030740181680268125,5.727512985992736e-06,0.0005030829861124003
0.0015535888805124493,5.727512985992736e-06,0.00025439812782042034
