r_over_d,F,Frms,T,Trms,YO2,YO2rms,YN2,YN2rms,YH2,YH2rms,YH2O,YH2Orms,YCH4,YCH4rms,YCO,YCOrms,YCO2,YCO2rms,YOH,YOHrms,YNO,YNOrms,YCOLIF,YCOrms2,TNDR,source_file,axial_location
,,,,,,,,,,,,,,,,,,,,,,,,,,D30,30.0
-0.83,0.5451,0.1464,1588.0,318.0,0.0472,0.04,0.702,0.0209,0.00247,0.00111,0.0967,0.0245,0.0339,0.0296,0.0389,0.0184,0.0793,0.0233,0.000493,0.000932,3.3e-05,1.67e-05,0.0382,0.0167,0.983,D30,30.0
-0.42,0.6287,0.1322,1415.0,351.0,0.0662,0.0418,0.693,0.0185,0.00238,0.000854,0.0838,0.0266,0.0532,0.0326,0.037,0.0145,0.0657,0.0238,0.000272,0.000714,2.6e-05,1.61e-05,0.0355,0.0143,0.992,D30,30.0
0.0,0.6569,0.1156,1339.0,330.0,0.0739,0.0409,0.69,0.0164,0.00234,0.00073,0.0785,0.0262,0.0602,0.0306,0.0353,0.0137,0.0607,0.0219,0.000148,0.000547,2.22e-05,1.36e-05,0.0339,0.013,0.999,D30,30.0
0.42,0.6328,0.1263,1406.0,340.0,0.0665,0.0416,0.693,0.0172,0.00242,0.000857,0.0833,0.0264,0.0539,0.0317,0.0365,0.0144,0.0653,0.0228,0.000224,0.000647,2.42e-05,1.44e-05,0.0358,0.0137,1.001,D30,30.0
0.83,0.552,0.1462,1586.0,330.0,0.0491,0.0386,0.701,0.0198,0.00243,0.00109,0.0956,0.0245,0.0357,0.0309,0.0392,0.0182,0.0768,0.0235,0.00057,0.00104,3.25e-05,1.65e-05,0.0385,0.0154,1.0,D30,30.0
1.25,0.4514,0.1557,1714.0,285.0,0.0421,0.038,0.712,0.021,0.00197,0.00134,0.101,0.0218,0.0186,0.0245,0.0345,0.0224,0.0885,0.0224,0.00106,0.00122,3.97e-05,1.69e-05,0.0347,0.0201,0.993,D30,30.0
1.67,0.3297,0.1455,1716.0,323.0,0.0563,0.0511,0.726,0.0208,0.00109,0.00128,0.0951,0.0261,0.00575,0.014,0.023,0.0243,0.0917,0.0248,0.00143,0.00119,4.53e-05,1.78e-05,0.0226,0.0221,0.991,D30,30.0
2.08,0.2408,0.111,1591.0,405.0,0.0811,0.0595,0.737,0.0163,0.000423,0.000785,0.082,0.0299,0.000465,0.00276,0.0107,0.0175,0.0868,0.031,0.00138,0.00117,4.36e-05,2.03e-05,0.011,0.0167,0.987,D30,30.0
2.5,0.1796,0.0966,1363.0,444.0,0.114,0.0588,0.744,0.0141,0.000136,0.000374,0.0646,0.0294,0.000166,0.000667,0.00404,0.0101,0.0718,0.034,0.000892,0.00104,3.38e-05,2.02e-05,0.0042,0.00953,0.991,D30,30.0
2.92,0.1278,0.0895,1097.0,460.0,0.146,0.0567,0.75,0.0129,5.76e-05,0.000195,0.048,0.028,9.06e-06,0.000452,0.00152,0.00616,0.0535,0.0347,0.000472,0.000826,2.38e-05,1.96e-05,0.00203,0.00624,0.99,D30,30.0
3.33,0.0907,0.0716,889.0,412.0,0.17,0.0467,0.754,0.0106,3.01e-05,7.51e-05,0.0358,0.023,0.000112,0.000383,0.000204,0.00219,0.039,0.0301,0.000202,0.000515,1.6e-05,1.53e-05,0.000567,0.00143,0.995,D30,30.0
3.75,0.0645,0.0535,737.0,336.0,0.186,0.0358,0.758,0.00918,1.77e-05,3.95e-05,0.0274,0.0175,9.89e-06,0.000229,0.000117,0.00169,0.0284,0.0236,6.65e-05,0.000241,1.11e-05,1.13e-05,0.000194,0.00039,0.995,D30,30.0
4.17,0.0446,0.0444,604.0,285.0,0.199,0.029,0.76,0.00831,1.6e-05,3.09e-05,0.0207,0.0146,9.06e-06,0.000166,0.000121,0.00134,0.0198,0.0198,2.21e-05,0.000103,7.27e-06,8.81e-06,0.000128,0.000215,0.996,D30,30.0
5.0,0.0151,0.0244,406.0,170.0,0.218,0.0166,0.764,0.0055,8.81e-06,1.53e-05,0.011,0.00796,0.0,9.92e-05,0.0,0.000738,0.00694,0.0111,2.03e-06,1.06e-05,2.4e-06,4.01e-06,4.41e-05,8.04e-05,0.999,D30,30.0
5.83,0.0004,0.0051,302.0,34.0,0.228,0.00558,0.766,0.00431,5.22e-06,7.18e-06,0.00616,0.0017,0.0,6.8e-05,0.0,0.000392,0.000406,0.00225,0.0,1.36e-07,3.28e-07,6.27e-07,7.68e-06,4.01e-05,0.998,D30,30.0
,,,,,,,,,,,,,,,,,,,,,,,,,,D45,45.0
-1.11,0.3321,0.097,1888.0,216.0,0.0325,0.039,0.729,0.016,0.00113,0.00142,0.107,0.021,0.0008,0.00238,0.0256,0.0275,0.104,0.0185,0.00153,0.00105,5.9e-05,1.68e-05,0.0241,0.0245,0.985,D45,45.0
-0.56,0.3715,0.0901,1936.0,163.0,0.021,0.03,0.723,0.0153,0.0016,0.0015,0.113,0.0162,0.0021,0.00472,0.0338,0.0272,0.106,0.0159,0.0015,0.00108,6.15e-05,1.69e-05,0.0314,0.0239,0.981,D45,45.0
0.0,0.3868,0.0977,1938.0,158.0,0.0183,0.0289,0.722,0.0161,0.00184,0.00166,0.115,0.016,0.00289,0.00621,0.0358,0.0272,0.104,0.0158,0.00132,0.00104,6.01e-05,1.85e-05,0.035,0.0241,0.983,D45,45.0
0.56,0.3732,0.0957,1933.0,177.0,0.0209,0.0325,0.724,0.016,0.00166,0.0016,0.113,0.0177,0.00223,0.00449,0.0337,0.028,0.104,0.0171,0.00139,0.00106,6.03e-05,1.81e-05,0.0325,0.0246,0.984,D45,45.0
1.11,0.339,0.0991,1891.0,230.0,0.0325,0.0408,0.727,0.0162,0.00115,0.00138,0.106,0.0212,0.00134,0.00322,0.0253,0.026,0.105,0.0194,0.00148,0.00099,6.16e-05,1.82e-05,0.025,0.0237,0.985,D45,45.0
1.67,0.297,0.1014,1804.0,302.0,0.0487,0.0489,0.731,0.0158,0.000743,0.00111,0.0982,0.0252,0.000262,0.00177,0.018,0.0235,0.101,0.0237,0.00146,0.00101,5.84e-05,1.92e-05,0.018,0.0216,0.982,D45,45.0
2.22,0.2487,0.1053,1644.0,385.0,0.0745,0.0571,0.736,0.0158,0.000414,0.000819,0.085,0.0293,0.000244,0.000996,0.0105,0.0184,0.0919,0.0297,0.00121,0.00103,5.13e-05,2.17e-05,0.0106,0.0173,0.982,D45,45.0
2.78,0.1977,0.0939,1457.0,408.0,0.102,0.0566,0.743,0.0135,0.00016,0.000446,0.0706,0.0283,0.000197,0.000768,0.00441,0.0112,0.0795,0.0319,0.00082,0.000928,4.19e-05,2.18e-05,0.00416,0.0102,0.988,D45,45.0
3.33,0.1489,0.0831,1223.0,419.0,0.131,0.0526,0.749,0.0119,6.23e-05,0.000213,0.0551,0.0262,0.000143,0.000553,0.00129,0.00612,0.0628,0.0323,0.000455,0.000722,3.13e-05,2e-05,0.0015,0.00542,0.989,D45,45.0
3.89,0.1161,0.0771,1040.0,425.0,0.153,0.0505,0.752,0.0113,2.6e-05,7.91e-05,0.0445,0.0253,7.57e-05,0.000452,0.000328,0.00299,0.0501,0.032,0.000266,0.000585,2.35e-05,1.88e-05,0.000649,0.00194,0.989,D45,45.0
4.44,0.0886,0.0665,886.0,385.0,0.17,0.0439,0.755,0.0102,1.34e-05,5.35e-05,0.0354,0.0216,0.0,0.000345,0.000316,0.00245,0.039,0.0287,0.000138,0.000402,1.74e-05,1.61e-05,0.000336,0.00145,0.992,D45,45.0
5.56,0.0496,0.0477,637.0,298.0,0.195,0.0313,0.76,0.00835,1.31e-05,3.27e-05,0.0222,0.0155,1.17e-05,0.000229,2.5e-05,0.00132,0.0223,0.0212,3.01e-05,0.000164,8.64e-06,1.01e-05,0.00011,0.000354,0.994,D45,45.0
6.67,0.0222,0.0295,455.0,202.0,0.213,0.0199,0.764,0.00591,1.43e-05,2.03e-05,0.0133,0.0095,0.0,0.000113,0.0,0.000909,0.0102,0.0135,2.77e-06,1.34e-05,3.55e-06,5.46e-06,3.27e-05,8.22e-05,0.995,D45,45.0
7.78,0.0051,0.0123,335.0,87.0,0.224,0.00909,0.766,0.00456,6.86e-06,8.69e-06,0.00762,0.00391,0.0,7.36e-05,0.0,0.000525,0.0026,0.00569,2.01e-07,1.85e-06,8.62e-07,1.68e-06,1.45e-05,4.65e-05,0.995,D45,45.0
,,,,,,,,,,,,,,,,,,,,,,,,,,D60,60.0
-1.39,0.1956,0.062,1500.0,298.0,0.0982,0.0407,0.744,0.011,2.11e-05,0.000113,0.0721,0.0202,0.0,0.000728,0.000443,0.00336,0.0844,0.0258,0.000535,0.000619,4.35e-05,1.7e-05,0.000801,0.00201,0.99,D60,60.0
-0.69,0.2138,0.0618,1578.0,287.0,0.0881,0.0391,0.742,0.0114,2.46e-05,0.000124,0.0771,0.0194,0.000378,0.000766,0.000801,0.00377,0.0908,0.025,0.000669,0.000679,4.8e-05,1.78e-05,0.000984,0.00239,0.989,D60,60.0
0.0,0.2197,0.063,1605.0,288.0,0.0834,0.0402,0.742,0.0111,3.8e-05,0.000135,0.0794,0.0199,0.000213,0.00077,0.000995,0.00412,0.0933,0.025,0.000733,0.000686,4.93e-05,1.74e-05,0.00131,0.00319,0.984,D60,60.0
0.69,0.2143,0.065,1573.0,301.0,0.0882,0.0415,0.741,0.0115,2.89e-05,0.000126,0.0773,0.0204,0.000279,0.000743,0.000846,0.00412,0.0913,0.0264,0.000681,0.000668,4.77e-05,1.73e-05,0.00118,0.00288,0.985,D60,60.0
1.39,0.1966,0.0657,1499.0,325.0,0.0981,0.0434,0.744,0.0114,1.4e-05,0.000108,0.0718,0.0214,6.47e-05,0.000683,0.000258,0.00358,0.0847,0.0275,0.000554,0.000605,4.48e-05,1.87e-05,0.000889,0.00231,0.986,D60,60.0
2.08,0.1855,0.0668,1442.0,334.0,0.106,0.0438,0.745,0.0111,1.75e-05,0.0001,0.0683,0.0219,7.14e-05,0.000653,0.000611,0.00312,0.08,0.0279,0.000475,0.00058,4.14e-05,1.83e-05,0.000641,0.0018,0.988,D60,60.0
2.78,0.1609,0.0662,1309.0,345.0,0.122,0.0434,0.747,0.0109,1.71e-05,8.7e-05,0.0598,0.0218,0.000182,0.000508,0.000147,0.00296,0.0694,0.028,0.0003,0.000474,3.49e-05,1.8e-05,0.000361,0.00141,0.991,D60,60.0
3.47,0.1326,0.0636,1157.0,353.0,0.14,0.0431,0.75,0.00988,1.79e-05,7.37e-05,0.0506,0.0215,0.0,0.000433,9.91e-05,0.0025,0.0581,0.0272,0.000182,0.000357,2.76e-05,1.67e-05,0.000237,0.000943,0.99,D60,60.0
4.17,0.1123,0.0585,1035.0,337.0,0.154,0.0393,0.753,0.00931,1.39e-05,6.12e-05,0.0432,0.0195,3.42e-05,0.000373,0.0,0.00216,0.0497,0.0255,9.84e-05,0.000209,2.21e-05,1.46e-05,0.000142,0.000341,0.995,D60,60.0
5.56,0.071,0.048,778.0,300.0,0.182,0.0321,0.757,0.00855,1.73e-05,4e-05,0.0296,0.0161,3.04e-06,0.000245,0.0,0.00158,0.0316,0.0213,2.44e-05,9.2e-05,1.28e-05,1.13e-05,4.72e-05,0.000165,0.995,D60,60.0
6.94,0.0396,0.0346,576.0,232.0,0.202,0.0232,0.761,0.00678,1.13e-05,2.67e-05,0.0192,0.0114,0.0,0.000142,0.0,0.00113,0.0179,0.0157,4.86e-06,4.47e-05,6.53e-06,6.9e-06,4.28e-05,0.000101,0.995,D60,60.0
8.33,0.0222,0.0264,452.0,181.0,0.213,0.0177,0.764,0.00627,1.26e-05,1.68e-05,0.0133,0.00856,1.73e-06,0.000112,0.0,0.000887,0.01,0.0119,1.57e-06,7.11e-06,3.47e-06,4.88e-06,1.03e-05,7.61e-05,0.998,D60,60.0
9.72,0.008,0.0161,357.0,114.0,0.222,0.0116,0.765,0.00476,6.98e-06,1.11e-05,0.00883,0.00525,0.0,8.35e-05,0.0,0.00061,0.00384,0.00739,2.82e-07,2.19e-06,1.3e-06,2.37e-06,3.27e-05,5.68e-05,0.997,D60,60.0
,,,,,,,,,,,,,,,,,,,,,,,,,,D75,75.0
-1.39,0.1339,0.0391,1152.0,215.0,0.141,0.0271,0.749,0.00891,5.84e-06,6.54e-05,0.051,0.0134,1.51e-05,0.000378,0.000281,0.00234,0.0588,0.0171,5.24e-05,8.63e-05,2.82e-05,1.06e-05,0.000109,0.000264,0.986,D75,75.0
-0.69,0.1374,0.0389,1175.0,210.0,0.137,0.0263,0.75,0.00875,9.83e-06,6.67e-05,0.0523,0.0136,0.0,0.000389,0.000152,0.00235,0.0608,0.0168,5.48e-05,6.88e-05,2.97e-05,1.08e-05,1.22e-05,0.00028,0.985,D75,75.0
0.0,0.1393,0.0405,1188.0,217.0,0.136,0.0279,0.749,0.00854,8.47e-06,6.65e-05,0.0529,0.0139,0.0,0.000404,0.000311,0.00251,0.0616,0.0178,6.32e-05,0.000104,3.03e-05,1.11e-05,8.94e-05,0.000313,0.985,D75,75.0
0.69,0.1354,0.0412,1164.0,221.0,0.14,0.0276,0.749,0.00931,1.25e-05,6.44e-05,0.0513,0.0141,0.0,0.000378,0.000397,0.00251,0.0599,0.018,5.69e-05,0.000101,2.92e-05,1.09e-05,0.000124,0.000282,0.985,D75,75.0
1.39,0.133,0.0394,1152.0,214.0,0.141,0.0268,0.75,0.00895,1.02e-05,6.26e-05,0.0506,0.0136,0.0,0.000381,0.000135,0.00233,0.0587,0.0171,5.07e-05,7.93e-05,2.86e-05,1.08e-05,5.1e-05,0.000272,0.986,D75,75.0
2.78,0.1134,0.0411,1036.0,234.0,0.154,0.0279,0.752,0.00851,1.28e-05,6.02e-05,0.0438,0.0141,2.2e-05,0.000306,0.000255,0.00219,0.0503,0.0179,2.96e-05,5.48e-05,2.39e-05,1.09e-05,5.23e-06,0.000236,0.986,D75,75.0
4.17,0.0947,0.0418,927.0,249.0,0.166,0.0283,0.754,0.00822,1.69e-05,5.13e-05,0.0377,0.0144,0.0,0.000268,0.000114,0.00198,0.0423,0.0183,1.99e-05,3.69e-05,1.92e-05,1.08e-05,5.22e-05,0.000194,0.987,D75,75.0
5.56,0.0683,0.0368,759.0,233.0,0.183,0.0245,0.758,0.0082,1.37e-05,3.57e-05,0.0284,0.0122,2.75e-05,0.000203,0.000106,0.00165,0.0307,0.0164,6.63e-06,1.65e-05,1.3e-05,8.58e-06,3.86e-05,0.000143,0.988,D75,75.0
6.94,0.0493,0.0319,634.0,208.0,0.196,0.0214,0.76,0.00731,1.86e-05,2.62e-05,0.022,0.0105,1.6e-06,0.000169,6.66e-05,0.00136,0.0225,0.0144,3.55e-06,1.35e-05,8.99e-06,6.98e-06,2.11e-05,0.000112,0.986,D75,75.0
8.33,0.0309,0.0263,513.0,176.0,0.207,0.0171,0.762,0.0065,1.47e-05,2.19e-05,0.0161,0.00859,0.0,0.000118,0.0,0.00109,0.0142,0.0119,1.63e-06,5.14e-06,5.47e-06,5.01e-06,3.45e-05,7.9e-05,0.991,D75,75.0
9.72,0.0188,0.0221,428.0,149.0,0.215,0.0153,0.764,0.00561,1.14e-05,1.55e-05,0.0121,0.00718,1.34e-05,0.000109,0.0,0.000828,0.00868,0.01,4.71e-07,2.69e-06,3.33e-06,4.05e-06,1.31e-05,6.87e-05,0.989,D75,75.0
11.11,0.0098,0.0155,367.0,105.0,0.221,0.0109,0.765,0.00488,9.02e-06,1.13e-05,0.00908,0.00506,0.0,8.95e-05,0.0,0.000689,0.00476,0.00701,2.92e-07,2.27e-06,1.76e-06,2.46e-06,2.21e-05,5.55e-05,0.988,D75,75.0
,,,,,,,,,,,,,,,,,,,,,,,,,,DCL,0.0
5.0,0.9855,0.0318,298.0,4.0,0.194,0.00458,0.652,0.00564,2.58e-06,1.42e-05,0.000517,0.000238,0.154,0.00493,0.0,0.000941,0.0,0.000819,5.25e-08,7.42e-07,1.4e-07,1.28e-07,5.85e-05,0.000127,1.019,DCL,0.0
10.0,0.9626,0.0415,352.0,49.0,0.188,0.00665,0.655,0.00656,8.68e-05,8.22e-05,0.00365,0.00324,0.149,0.00754,0.000678,0.00157,0.00296,0.00322,0.0,8.68e-07,4.72e-07,5.18e-07,0.00113,0.00118,1.019,DCL,0.0
15.0,0.9117,0.0587,504.0,138.0,0.172,0.0167,0.662,0.00906,0.000394,0.000272,0.0139,0.00974,0.135,0.0137,0.00547,0.0052,0.0121,0.00887,3.92e-06,1.3e-05,2.25e-06,1.91e-06,0.00484,0.00409,1.016,DCL,0.0
20.0,0.8297,0.0769,749.0,236.0,0.146,0.0292,0.67,0.0116,0.000927,0.000492,0.0316,0.0178,0.113,0.0209,0.0144,0.00965,0.0265,0.0144,9.31e-06,2.76e-05,6.21e-06,4.65e-06,0.0125,0.00833,1.008,DCL,0.0
25.0,0.7606,0.0885,1009.0,279.0,0.115,0.0352,0.678,0.0128,0.0016,0.000633,0.0517,0.0221,0.0908,0.0251,0.0246,0.0115,0.0411,0.0176,3.32e-05,0.000179,1.2e-05,7.69e-06,0.0217,0.0109,1.007,DCL,0.0
30.0,0.6549,0.1237,1357.0,327.0,0.0718,0.0402,0.69,0.0169,0.0024,0.00086,0.0803,0.0264,0.0592,0.0312,0.0364,0.0151,0.0623,0.0221,0.000173,0.000595,2.2e-05,1.29e-05,0.0336,0.013,1.002,DCL,0.0
35.0,0.5677,0.1282,1630.0,298.0,0.0399,0.0348,0.699,0.0189,0.00293,0.00117,0.102,0.0228,0.0342,0.028,0.0462,0.02,0.0792,0.0209,0.000411,0.000869,3.35e-05,1.61e-05,0.0424,0.0149,0.992,DCL,0.0
40.0,0.4762,0.1145,1848.0,211.0,0.0181,0.0242,0.708,0.0185,0.00287,0.00157,0.116,0.0152,0.0131,0.0173,0.048,0.0253,0.0945,0.018,0.0008,0.00108,4.54e-05,1.68e-05,0.0459,0.0194,0.986,DCL,0.0
45.0,0.395,0.096,1957.0,141.0,0.0168,0.0261,0.718,0.0167,0.00189,0.0017,0.117,0.0149,0.00312,0.00585,0.0388,0.0292,0.105,0.0153,0.00135,0.00108,5.63e-05,1.65e-05,0.0356,0.0246,0.986,DCL,0.0
50.0,0.3237,0.082,1922.0,211.0,0.0337,0.0363,0.728,0.0139,0.000752,0.00106,0.107,0.0191,0.000674,0.00152,0.0185,0.0228,0.11,0.0187,0.00154,0.000838,6.18e-05,1.69e-05,0.0185,0.0208,0.982,DCL,0.0
55.0,0.2727,0.0711,1813.0,264.0,0.0545,0.04,0.735,0.0128,0.0002,0.0004,0.095,0.0202,0.000537,0.00105,0.00608,0.0111,0.108,0.0227,0.00132,0.000803,6.04e-05,1.85e-05,0.00633,0.0104,0.983,DCL,0.0
60.0,0.2241,0.0661,1629.0,300.0,0.0813,0.042,0.74,0.0113,4.04e-05,0.000145,0.0815,0.0212,9.59e-05,0.000788,0.000977,0.00419,0.0948,0.0263,0.00074,0.000682,4.97e-05,1.79e-05,0.00153,0.00309,0.985,DCL,0.0
65.0,0.191,0.0556,1471.0,273.0,0.103,0.0363,0.743,0.0107,7.5e-06,9.1e-05,0.0707,0.0187,9.48e-06,0.000601,0.0,0.00305,0.0827,0.0239,0.00033,0.000406,3.93e-05,1.4e-05,0.000372,0.00105,0.99,DCL,0.0
70.0,0.1637,0.0464,1326.0,239.0,0.121,0.0313,0.746,0.00923,1.1e-05,8.21e-05,0.0612,0.0157,0.000156,0.000477,0.0,0.00242,0.0708,0.0199,0.000135,0.000196,3.43e-05,1.15e-05,0.00012,0.000456,0.991,DCL,0.0
75.0,0.1416,0.0405,1212.0,216.0,0.135,0.0272,0.749,0.0089,7.34e-06,6.56e-05,0.0538,0.0141,6.33e-05,0.000371,0.000164,0.00235,0.0618,0.0174,5.9e-05,8.59e-05,3.06e-05,1.06e-05,4.13e-05,0.000315,0.995,DCL,0.0
80.0,0.124,0.0346,1113.0,192.0,0.148,0.0234,0.75,0.00886,1.58e-05,6.17e-05,0.0475,0.0121,4.92e-05,0.000342,0.000302,0.00218,0.0546,0.0148,2.41e-05,3.51e-05,2.69e-05,9.37e-06,1.8e-05,0.00026,0.996,DCL,0.0
