r_over_d,F,Frms,T,Trms,YO2,YO2rms,YN2,YN2rms,YH2,YH2rms,YH2O,YH2Orms,YCH4,YCH4rms,YCO,YCOrms,YCO2,YCO2rms,YOH,YOHrms,YNO,YNOrms,YCOLIF,YCOrms2,TNDR,source_file,axial_location
-0.53,0.81,0.0842,723.0,246.0,0.163,0.0274,0.663,0.0116,0.000532,0.00035,0.0258,0.0149,0.113,0.0207,0.00806,0.00818,0.0261,0.0173,2.1e-05,3.89e-05,4.48e-06,2.86e-06,0.00843,0.00646,0.0,D02,2.0
-0.46,0.9067,0.0744,452.0,132.0,0.187,0.0125,0.655,0.00961,0.000161,0.000146,0.00993,0.00766,0.137,0.0151,0.000868,0.00292,0.0083,0.00836,5.57e-08,9.47e-06,1.54e-06,1.2e-06,0.00257,0.0023,0.0,D02,2.0
-0.39,0.965,0.0475,340.0,48.0,0.194,0.00571,0.65,0.00701,4.26e-05,4.75e-05,0.00339,0.00289,0.149,0.00829,0.0,0.0012,0.00193,0.00266,0.0,1.03e-06,5.57e-07,4.8e-07,0.000695,0.000888,0.0,D02,2.0
-0.32,0.9873,0.0385,304.0,20.0,0.196,0.00429,0.649,0.00622,1.32e-05,2.19e-05,0.00126,0.00117,0.154,0.00617,0.0,0.001,0.000245,0.00124,0.0,8.49e-07,1.95e-07,1.92e-07,0.000167,0.000279,0.0,D02,2.0
0.11,0.9976,0.0311,290.0,3.0,0.195,0.00444,0.649,0.0051,2.48e-06,1.25e-05,0.000488,0.000153,0.156,0.00484,5.66e-05,0.000847,0.0,0.000765,1.77e-07,6.7e-07,8.82e-08,9.08e-08,2.42e-05,6.14e-05,0.0,D02,2.0
0.38,0.9891,0.0411,334.0,45.0,0.189,0.00789,0.651,0.00762,4.92e-05,5.4e-05,0.00284,0.00277,0.153,0.00709,0.000543,0.00118,0.00273,0.00331,1.37e-07,7.87e-07,3.93e-07,3.42e-07,0.000589,0.00065,0.0,D02,2.0
0.44,0.9479,0.0662,447.0,122.0,0.175,0.0153,0.658,0.0103,0.000211,0.000157,0.0107,0.00835,0.143,0.0138,0.00292,0.00336,0.0105,0.00835,3.51e-06,1.67e-05,1.37e-06,1.14e-06,0.00242,0.00218,0.0,D02,2.0
0.51,0.8589,0.0967,679.0,229.0,0.146,0.0282,0.672,0.016,0.00054,0.0003,0.0272,0.0157,0.121,0.0228,0.00945,0.00695,0.0258,0.0158,2.12e-05,3.06e-05,4.03e-06,3.01e-06,0.00729,0.00548,0.0,D02,2.0
0.58,0.6996,0.1169,1100.0,331.0,0.0929,0.0384,0.697,0.0177,0.00105,0.000428,0.0563,0.0228,0.0799,0.0303,0.0219,0.0102,0.0542,0.0228,0.000157,0.000218,1.09e-05,6.34e-06,0.0187,0.0102,0.0,D02,2.0
0.65,0.4924,0.1059,1666.0,291.0,0.0403,0.0261,0.709,0.0128,0.00115,0.000389,0.0925,0.019,0.0282,0.0261,0.0316,0.0111,0.096,0.0225,0.00133,0.000791,2.63e-05,8.98e-06,0.0314,0.00887,0.0,D02,2.0
0.72,0.3521,0.042,1943.0,88.0,0.0306,0.00718,0.722,0.0121,0.00059,0.000322,0.105,0.00768,0.0042,0.00671,0.018,0.00833,0.113,0.00892,0.00286,0.000544,2.9e-05,4.56e-06,0.0217,0.00658,0.0,D02,2.0
0.79,0.2947,0.0172,1953.0,44.0,0.0422,0.00691,0.732,0.00985,0.00021,0.000188,0.1,0.00625,0.00095,0.00123,0.00681,0.00475,0.112,0.00643,0.00281,0.000263,2.34e-05,3.31e-06,0.00908,0.00297,0.0,D02,2.0
0.93,0.2638,0.0128,1861.0,54.0,0.055,0.00706,0.737,0.00953,5.61e-05,0.00012,0.0914,0.00582,0.000541,0.000928,0.00121,0.0035,0.112,0.00653,0.00165,0.000214,1.61e-05,2.13e-06,0.00245,0.000917,0.0,D02,2.0
1.07,0.2331,0.0244,1698.0,118.0,0.0749,0.016,0.739,0.00933,1.35e-05,0.000112,0.0817,0.0084,0.000343,0.0008,0.0,0.00324,0.101,0.0106,0.000957,0.000272,1.25e-05,2.6e-06,0.00118,0.000687,0.0,D02,2.0
1.21,0.1698,0.053,1356.0,269.0,0.119,0.0373,0.744,0.00893,2.14e-05,7.99e-05,0.0619,0.0165,0.000104,0.000491,2.38e-05,0.00251,0.0742,0.0242,0.000387,0.000307,8.33e-06,3.31e-06,0.000708,0.000454,0.0,D02,2.0
1.35,0.1085,0.056,1008.0,311.0,0.16,0.0387,0.751,0.00897,2.12e-05,6.07e-05,0.0425,0.0177,5.44e-05,0.000298,0.0,0.00193,0.0467,0.0257,0.000119,0.000156,4.6e-06,2.79e-06,0.000422,0.000286,0.0,D02,2.0
1.49,0.0655,0.0521,755.0,318.0,0.188,0.0357,0.755,0.00822,1.44e-05,3.97e-05,0.0283,0.0162,4.22e-05,0.000209,0.0,0.00154,0.028,0.0243,3.46e-05,6.35e-05,2.84e-06,2.46e-06,0.000233,0.000189,0.0,D02,2.0
1.62,0.0172,0.0243,444.0,175.0,0.221,0.0161,0.76,0.00619,1.02e-05,1.53e-05,0.0127,0.00788,0.0,0.000114,0.0,0.00081,0.00669,0.0112,5.18e-06,1.85e-05,8.71e-07,1.09e-06,6.21e-05,9.37e-05,0.0,D02,2.0
1.9,0.0,0.0009,298.0,8.0,0.23,0.00419,0.764,0.00422,4.68e-06,6.11e-06,0.00591,0.000463,0.0,5.96e-05,0.0,0.000419,0.0,0.000389,4.24e-08,1.29e-07,2.21e-07,1.9e-07,3.02e-05,4.42e-05,0.0,D02,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,D03,3.0
-0.74,0.5055,0.113,1775.0,231.0,0.0385,0.0309,0.703,0.0222,0.00137,0.000468,0.0993,0.0185,0.0281,0.0237,0.0317,0.0105,0.0985,0.0171,0.00121,0.000886,2.77e-05,8.33e-06,0.0304,0.00842,0.0,D03,3.0
-0.6,0.7542,0.0844,983.0,318.0,0.132,0.0391,0.669,0.0124,0.00102,0.000472,0.043,0.0223,0.0938,0.0247,0.0177,0.0113,0.0431,0.0227,4.05e-05,6.95e-05,8.78e-06,5.86e-06,0.0174,0.0101,0.0,D03,3.0
-0.46,0.881,0.0751,505.0,169.0,0.18,0.0177,0.659,0.00968,0.000281,0.000239,0.0133,0.0103,0.131,0.0166,0.00312,0.00467,0.0119,0.0106,1.77e-06,1.22e-05,2.06e-06,1.76e-06,0.00422,0.00401,0.0,D03,3.0
-0.32,0.9668,0.0435,326.0,42.0,0.194,0.00534,0.651,0.00626,3.8e-05,4.88e-05,0.00259,0.00255,0.15,0.00742,0.0,0.00105,0.00145,0.00236,0.0,8.82e-07,3.52e-07,3.86e-07,0.000621,0.000735,0.0,D03,3.0
-0.18,0.9878,0.0356,293.0,6.0,0.196,0.00447,0.649,0.0059,2.63e-06,1.27e-05,0.00063,0.000324,0.154,0.00555,4.36e-05,0.000959,0.0,0.00082,1.93e-07,7.55e-07,1.54e-07,1.09e-07,8.36e-05,0.00017,0.0,D03,3.0
-0.04,0.9871,0.037,291.0,3.0,0.196,0.00435,0.65,0.00619,2.2e-06,1.36e-05,0.000517,0.000165,0.154,0.00571,0.0,0.000918,0.0,0.000856,1.11e-07,7.47e-07,7.5e-08,8.83e-08,4.84e-05,6.53e-05,0.0,D03,3.0
0.1,0.9902,0.036,290.0,3.0,0.195,0.00419,0.65,0.00567,3.23e-06,1.15e-05,0.00052,0.000148,0.155,0.00557,2.36e-05,0.000882,0.0,0.000849,1.62e-07,6.96e-07,7.5e-08,7.71e-08,3.87e-05,6.35e-05,0.0,D03,3.0
0.24,0.995,0.0362,298.0,13.0,0.195,0.00493,0.649,0.00626,9.38e-06,1.87e-05,0.000798,0.000674,0.155,0.00568,0.000138,0.000991,0.000128,0.00132,2.32e-07,7.49e-07,1.79e-07,1.27e-07,0.00013,0.000249,0.0,D03,3.0
0.38,0.9645,0.0545,377.0,86.0,0.185,0.0115,0.655,0.00862,0.00012,0.000128,0.0057,0.00575,0.148,0.0106,0.00153,0.00229,0.00536,0.00592,1.18e-06,8.92e-06,6.73e-07,7.58e-07,0.00136,0.00147,0.0,D03,3.0
0.51,0.8553,0.0895,679.0,228.0,0.148,0.0291,0.671,0.0152,0.000629,0.000356,0.027,0.016,0.12,0.0219,0.01,0.00736,0.0251,0.015,1.16e-05,2.24e-05,3.97e-06,3.03e-06,0.00835,0.00633,0.0,D03,3.0
0.65,0.5939,0.1222,1437.0,346.0,0.0594,0.0357,0.701,0.0137,0.00143,0.000418,0.0802,0.0236,0.0498,0.0321,0.0319,0.0129,0.0768,0.0261,0.00045,0.000563,2.07e-05,1.01e-05,0.031,0.0122,0.0,D03,3.0
0.79,0.3384,0.0423,1937.0,78.0,0.0324,0.00996,0.725,0.0127,0.000558,0.00038,0.105,0.00844,0.00306,0.00491,0.0157,0.0103,0.112,0.00767,0.00293,0.000481,3.03e-05,5.91e-06,0.0187,0.0073,0.0,D03,3.0
