diameter,T_ambient,viscosity,pressure,O2_conc,velocity,fuel_type_encoded,residence_time,surface_tension,density
,,,101325.0,,,1.0,,,
30.29,1471.0,0.005676335437586472,101325.0,0.0836,15.145,1.0,0.32353912182238365,0.0635544,0.24000596906037042
39.445,780.0,0.004133415052955607,101325.0,0.165,19.7225,1.0,0.2484472049689441,0.0685296,0.4526266416510319
47.089999999999996,406.0,0.002982117368582263,101325.0,0.193,23.544999999999998,1.0,0.2081121257167127,0.07122239999999999,0.8695782770635588
50.415,306.0,0.0025889426413113134,101325.0,0.195,25.2075,1.0,0.19438659129227412,0.07194239999999999,1.1537541846006696
50.255,288.0,0.0025116432867746167,101325.0,0.196,25.1275,1.0,0.19500547209232913,0.07207199999999998,1.2258638211382114
50.714999999999996,302.0,0.0025719657851534495,101325.0,0.194,25.357499999999998,1.0,0.1932367149758454,0.0719712,1.1690356969794864
49.17,393.0,0.0029339856850366533,101325.0,0.18,24.585,1.0,0.19930852145617245,0.071316,0.8983429528951778
42.43,690.0,0.0038876419588228547,101325.0,0.14,21.215,1.0,0.23096865425406551,0.06917759999999999,0.5116648992576882
28.349999999999998,1385.0,0.005507907043514805,101325.0,0.0647,14.174999999999999,1.0,0.34567901234567905,0.0641736,0.25490886677819846
16.89,1877.0,0.006412004990640602,101325.0,0.04,8.445,1.0,0.5802249851983421,0.06063119999999999,0.18809205140533025
14.030000000000001,1893.0,0.0064392757356709,101325.0,0.0505,7.015000000000001,1.0,0.698503207412687,0.060516,0.18650226121912566
13.56,1887.0,0.006429062762176149,101325.0,0.0527,6.78,1.0,0.7227138643067846,0.060559199999999994,0.18709527317848695
13.44,1881.0,0.006418833538891627,101325.0,0.0524,6.72,1.0,0.7291666666666667,0.060602399999999994,0.1876920683082429
13.059999999999999,1807.0,0.006291305746822355,101325.0,0.0581,6.529999999999999,1.0,0.7503828483920368,0.061135199999999994,0.1953784064680713
10.315000000000001,1499.0,0.005730104362051358,101325.0,0.097,5.157500000000001,1.0,0.9500727096461462,0.0633528,0.2355228689044729
4.0649999999999995,872.0,0.004370387625829086,101325.0,0.182,2.0324999999999998,1.0,2.4108241082410826,0.06786719999999999,0.4048724546878496
0.65,433.0,0.0030796805029093526,101325.0,0.225,0.325,1.0,15.076923076923077,0.071028,0.8153551512420436
0.01,330.0,0.0026885535144385727,101325.0,0.23,0.005,1.0,48.99999999999999,0.0717696,1.0698447893569845
0.0,300.0,0.0025634351952019386,101325.0,0.231,0.0,1.0,48.99999999999999,0.0719856,1.1768292682926829
,,,101325.0,,,1.0,,,
28.055000000000003,1666.0,0.006040866163059731,101325.0,0.054,14.027500000000002,1.0,0.6986276955979325,0.062150399999999995,0.2119140339062454
36.14,1125.0,0.004964070910049533,101325.0,0.121,18.07,1.0,0.5423353624792474,0.0660456,0.31382113821138213
40.5,723.0,0.0039795215792856305,101325.0,0.163,20.25,1.0,0.4839506172839506,0.06894,0.48831089970650743
45.335,452.0,0.003146523160569456,101325.0,0.187,22.6675,1.0,0.43233704643211646,0.0708912,0.7810813727606303
48.25,340.0,0.002728985159358695,101325.0,0.194,24.125,1.0,0.40621761658031086,0.0716976,1.0383787661406025
49.364999999999995,304.0,0.0025804681745760787,101325.0,0.196,24.682499999999997,1.0,0.3970424389749823,0.07195679999999999,1.161344672657253
49.88,290.0,0.0025203491821571074,101325.0,0.195,24.94,1.0,0.3929430633520449,0.07205759999999999,1.2174095878889823
49.455,334.0,0.002704798698609566,101325.0,0.189,24.7275,1.0,0.39631988676574664,0.0717408,1.0570322769095954
47.394999999999996,447.0,0.0031290714277561645,101325.0,0.175,23.697499999999998,1.0,0.41354573267222283,0.0709272,0.7898183008675724
42.945,679.0,0.0038565290093554336,101325.0,0.146,21.4725,1.0,0.45639771801140994,0.0692568,0.5199540213369733
34.98,1100.0,0.004908604689725992,101325.0,0.0929,17.49,1.0,0.5603201829616925,0.0662256,0.32095343680709537
24.62,1666.0,0.006040866163059731,101325.0,0.0403,12.31,1.0,0.7961007311129163,0.062150399999999995,0.2119140339062454
17.605,1943.0,0.0065237621047981205,101325.0,0.0306,8.8025,1.0,1.1133200795228628,0.060155999999999994,0.18170292356551976
14.735000000000001,1953.0,0.006540528419019369,101325.0,0.0422,7.367500000000001,1.0,1.3301662707838477,0.060084,0.18077254505263946
13.19,1861.0,0.006384617764596406,101325.0,0.055,6.595,1.0,1.4859742228961332,0.0607464,0.18970917812348462
11.655,1698.0,0.006098605742298809,101325.0,0.0749,5.8275,1.0,1.6816816816816818,0.061919999999999996,0.2079203654227355
8.49,1356.0,0.005449937981298503,101325.0,0.119,4.245,1.0,2.3085983510011774,0.06438239999999999,0.26036045758687676
5.425,1008.0,0.0046988543284507125,101325.0,0.16,2.7125,1.0,3.6129032258064515,0.066888,0.350246806039489
3.2750000000000004,755.0,0.00406663497255409,101325.0,0.188,1.6375000000000002,1.0,5.98473282442748,0.0687096,0.4676142787917945
0.86,444.0,0.0031185535108444106,101325.0,0.221,0.43,1.0,22.790697674418603,0.07094879999999999,0.7951549110085695
0.0,298.0,0.002554876122241546,101325.0,0.23,0.0,1.0,97.99999999999999,0.072,1.1847274513013586
,,,101325.0,,,1.0,,,
25.275,1775.0,0.006235350832150505,101325.0,0.0385,12.6375,1.0,1.1632047477744807,0.0613656,0.19890072140158022
37.71,983.0,0.004640218960350901,101325.0,0.132,18.855,1.0,0.7796340493237868,0.06706799999999999,0.35915440537925214
44.05,505.0,0.0033258863480281464,101325.0,0.18,22.025,1.0,0.6674233825198638,0.07050959999999999,0.6991064960154552
48.339999999999996,326.0,0.0026722095726196327,101325.0,0.194,24.169999999999998,1.0,0.6081919735208937,0.0717984,1.082971719287745
49.39,293.0,0.0025333519297563063,101325.0,0.196,24.695,1.0,0.5952621988256732,0.07203599999999999,1.2049446433030884
49.355,291.0,0.0025246908721663327,101325.0,0.196,24.6775,1.0,0.595684327828994,0.07205039999999999,1.213226049786271
49.51,290.0,0.0025203491821571074,101325.0,0.195,24.755,1.0,0.5938194304180973,0.07205759999999999,1.2174095878889823
49.75,298.0,0.002554876122241546,101325.0,0.195,24.875,1.0,0.5909547738693467,0.072,1.1847274513013586
48.225,377.0,0.0028736402001642448,101325.0,0.185,24.1125,1.0,0.609642301710731,0.07143119999999999,0.9364689137607557
42.765,679.0,0.0038565290093554336,101325.0,0.148,21.3825,1.0,0.6874780778674149,0.0692568,0.5199540213369733
29.695,1437.0,0.005610351860623361,101325.0,0.0594,14.8475,1.0,0.9900656676208115,0.0637992,0.245684607159224
16.919999999999998,1937.0,0.006513681601060954,101325.0,0.0324,8.459999999999999,1.0,1.7375886524822697,0.060199199999999994,0.18226576173867057
12.814999999999998,1804.0,0.00628608113215221,101325.0,0.0636,6.407499999999999,1.0,2.2941865001950843,0.06115679999999999,0.19570331512627764
10.045,1529.0,0.005787159579621077,101325.0,0.0976,5.0225,1.0,2.926829268292683,0.06313679999999999,0.23090175309862973
7.695,1270.0,0.005274284785636817,101325.0,0.128,3.8475,1.0,3.820662768031189,0.06500159999999999,0.277991165738429
6.845,1170.0,0.005062378887440173,101325.0,0.14,3.4225,1.0,4.295105916727538,0.0657216,0.30175109443402126
5.015,960.0,0.004585612281909582,101325.0,0.165,2.5075,1.0,5.862412761714856,0.06723359999999999,0.3677591463414634
2.69,686.0,0.003876357052697803,101325.0,0.197,1.345,1.0,10.929368029739777,0.0692064,0.5146483680580246
0.0,302.0,0.0025719657851534495,101325.0,0.23,0.0,1.0,147.0,0.0719712,1.1690356969794864
0.0,294.0,0.002537671373523373,101325.0,0.231,0.0,1.0,147.0,0.07202879999999999,1.2008461921353908
,,,101325.0,,,1.0,,,
0.0,291.0,0.0025246908721663327,101325.0,0.23,0.0,1.0,3675.0,0.07205039999999999,1.213226049786271
0.0,290.0,0.0025203491821571074,101325.0,0.23,0.0,1.0,3675.0,0.07205759999999999,1.2174095878889823
46.35,425.0,0.003051098162957069,101325.0,0.185,23.175,1.0,15.857605177993527,0.07108559999999998,0.830703012912482
48.355,335.0,0.0027088447722230227,101325.0,0.192,24.1775,1.0,15.200082721538621,0.0717336,1.0538769566800146
49.3,307.0,0.0025931694892544145,101325.0,0.194,24.65,1.0,14.908722109533468,0.07193519999999999,1.149996027647573
49.32,312.0,0.002614201216433043,101325.0,0.193,24.66,1.0,14.902676399026763,0.0718992,1.1315666041275798
48.365,380.0,0.002885051126063453,101325.0,0.185,24.1825,1.0,15.196939935904062,0.07140959999999999,0.9290757381258024
45.725,516.0,0.0033619137407137623,101325.0,0.169,22.8625,1.0,16.074357572443958,0.07043039999999999,0.6842030629608622
41.975,751.0,0.004055848123389238,101325.0,0.142,20.9875,1.0,17.5104228707564,0.06873839999999999,0.47010490078269623
35.61,1134.0,0.00498388763918289,101325.0,0.0949,17.805,1.0,20.64026958719461,0.06598079999999999,0.3113304942573235
27.815,1525.0,0.005779584760170924,101325.0,0.0535,13.9075,1.0,26.424591047995683,0.06316559999999999,0.23150739704118353
18.875,1759.0,0.006207184224751188,101325.0,0.0464,9.4375,1.0,38.94039735099337,0.061480799999999995,0.20070993774178789
12.18,1628.0,0.0059715753365422765,101325.0,0.0847,6.09,1.0,60.3448275862069,0.06242399999999999,0.2168604302750644
7.485,1268.0,0.005270130169170398,101325.0,0.136,3.7425,1.0,98.19639278557113,0.06501599999999999,0.27842963760867895
4.765,959.0,0.004583223319891799,101325.0,0.169,2.3825,1.0,154.24973767051418,0.06724079999999999,0.3681426282458862
2.9250000000000003,717.0,0.003962974640342782,101325.0,0.193,1.4625000000000001,1.0,251.28205128205127,0.0689832,0.4923971833860598
1.87,565.0,0.003517919839905395,101325.0,0.206,0.935,1.0,393.04812834224595,0.0700776,0.6248650982085042
0.605,387.0,0.002911502704790088,101325.0,0.222,0.3025,1.0,1214.8760330578511,0.0713592,0.9122707506144829
0.0,295.0,0.002541983477523015,101325.0,0.229,0.0,1.0,3675.0,0.07202159999999999,1.1967755270773046
,,,101325.0,,,1.0,,,
38.29,907.0,0.004457233222527177,101325.0,0.129,19.145,1.0,3.839122486288848,0.0676152,0.3892489310780649
42.725,620.0,0.0036851702810046646,101325.0,0.161,21.3625,1.0,3.440608543007606,0.0696816,0.5694335169158143
45.410000000000004,498.0,0.0033027552134543667,101325.0,0.174,22.705000000000002,1.0,3.2371724289804003,0.07056,0.7089332941522186
44.26,592.0,0.0036009954179365457,101325.0,0.163,22.13,1.0,3.3212833258020784,0.06988319999999999,0.5963661832564272
44.145,598.0,0.0036191977011486953,101325.0,0.163,22.0725,1.0,3.3299354400271826,0.06984,0.5903825760665633
39.019999999999996,919.0,0.004486621891802339,101325.0,0.126,19.509999999999998,1.0,3.767298821117376,0.06752879999999999,0.38416624645027736
31.05,1346.0,0.005429805153041866,101325.0,0.0788,15.525,1.0,4.734299516908212,0.0644544,0.2622947849092161
20.69,1633.0,0.005980738415948318,101325.0,0.0577,10.345,1.0,7.104881585306911,0.062388,0.21619643630606544
12.735,1516.0,0.005762505010843809,101325.0,0.0876,6.3675,1.0,11.542991755005888,0.06323039999999999,0.23288178132440954
7.485,1174.0,0.005071025142907497,101325.0,0.136,3.7425,1.0,19.639278557114224,0.0656928,0.3007229816761541
4.365,864.0,0.004350293783182925,101325.0,0.172,2.1825,1.0,33.67697594501718,0.0679248,0.40862127371273715
2.355,619.0,0.0036821971701689197,101325.0,0.198,1.1775,1.0,62.4203821656051,0.0696888,0.5703534418219788
1.3,478.0,0.003235755244143166,101325.0,0.212,0.65,1.0,113.07692307692307,0.07070399999999999,0.7385957750790897
0.40499999999999997,353.0,0.0027806675457522786,101325.0,0.223,0.20249999999999999,1.0,362.962962962963,0.071604,1.000138188350722
0.034999999999999996,301.0,0.0025677040327888256,101325.0,0.228,0.017499999999999998,1.0,734.9999999999999,0.0719784,1.1729195365043352
,,,101325.0,,,1.0,,,
27.255000000000003,1588.0,0.005897758218170698,101325.0,0.0472,13.627500000000001,1.0,10.78701155751238,0.06271199999999999,0.22232290962708115
31.435000000000002,1415.0,0.005567239890645992,101325.0,0.0662,15.717500000000001,1.0,9.352632416096707,0.06395759999999999,0.2495044385072826
32.845,1339.0,0.005415667641205468,101325.0,0.0739,16.4225,1.0,8.95113411478155,0.0645048,0.2636660048452613
