epoch,train_loss,val_loss,lr
1,0.2768113488952319,0.1910894513130188,0.001
2,0.14726765039894316,0.10034321993589401,0.001
3,0.08346453246970971,0.033061061054468155,0.001
4,0.029667374057074387,0.008062174543738365,0.001
5,0.02320871486638983,0.003291403641924262,0.001
6,0.020931023742175765,0.0032254813704639673,0.001
7,0.019148722446213167,0.004702137317508459,0.001
8,0.01786289069180687,0.002214393811300397,0.001
9,0.015603777874882022,0.007504132576286793,0.001
10,0.018191304626978107,0.0038156642112880945,0.001
11,0.014344412781712081,0.003275226801633835,0.001
12,0.016422176267951727,0.0012165707303211093,0.001
13,0.014258660686512789,0.002423821482807398,0.001
14,0.016302753809011646,0.0018374593928456306,0.001
15,0.013799114540840188,0.0012598539469763637,0.001
16,0.01312050207828482,0.0014731611590832472,0.001
17,0.01328088715672493,0.002126498380675912,0.001
18,0.014576169377606776,0.0012289269361644983,0.001
19,0.013153641329457363,0.0007685688324272633,0.001
20,0.012136325266005265,0.0015671615255996585,0.001
21,0.011224498351414999,0.0008763909572735429,0.001
22,0.01133711867603577,0.000518708664458245,0.001
23,0.01315362099558115,0.0005108907935209572,0.001
24,0.011989096464175317,0.0011579516576603055,0.001
25,0.011879529467680387,0.0006405722233466804,0.001
26,0.01112488670171135,0.0023262135218828917,0.001
27,0.010091752072589265,0.0009521035826765001,0.001
28,0.01111366897304025,0.0005237461300566792,0.001
29,0.009209550322136946,0.0008506582817062736,0.001
30,0.011557213561091986,0.004925767425447702,0.001
31,0.010766022372990847,0.0005954289226792753,0.001
32,0.009782577994176082,0.0011633416870608926,0.001
33,0.008394359197053645,0.0016776523552834988,0.001
34,0.01125005816316439,0.0021508662030100822,0.001
35,0.009449255639790662,0.0007072220323607326,0.0005
36,0.00916382008128696,0.0003254912735428661,0.0005
37,0.009246882258190049,0.0013600729871541262,0.0005
38,0.008772741149490079,0.0007442378555424511,0.0005
39,0.010547140082861815,0.0003548222885001451,0.0005
40,0.009384954943218164,0.0017426578560844064,0.0005
41,0.010098033532914188,0.00040121653000824153,0.0005
42,0.009313944442611601,0.0005520852864719927,0.0005
43,0.008375074753227333,0.0020546074956655502,0.0005
44,0.011041062185540795,0.0003388476907275617,0.0005
45,0.011139370177665519,0.00044131779577583075,0.0005
46,0.008322822033531137,0.0019873538985848427,0.0005
47,0.00809408861419393,0.0004917433834634721,0.0005
48,0.007342274326624142,0.0014534854562953115,0.00025
49,0.008384626940824091,0.0006369752809405327,0.00025
50,0.006864129281085398,0.0009791961638256907,0.00025
51,0.007319549357311593,0.00039853042108006775,0.00025
52,0.008306381344381306,0.0015426870668306947,0.00025
53,0.008114072972805135,0.000698513409588486,0.00025
54,0.0090197996986616,0.0006339859100989997,0.00025
55,0.007482100038840953,0.0009263859246857464,0.00025
56,0.007910528608287374,0.0005196957499720156,0.00025
57,0.007118519279174507,0.0006864132592454553,0.00025
58,0.007302392222401168,0.0007920211064629257,0.00025
59,0.0075688647597821224,0.0008235007990151644,0.000125
60,0.00843699938721127,0.0006314708734862506,0.000125
61,0.007357667200267315,0.0007465318776667118,0.000125
62,0.007572576649383538,0.00045275245793163776,0.000125
63,0.008814874932997756,0.0005534125375561416,0.000125
64,0.008361392150012156,0.00040767586324363947,0.000125
65,0.008044415075952807,0.0005113022052682936,0.000125
66,0.007650811057020392,0.0007308617350645363,0.000125
