epoch,train_loss,val_loss,lr
1,0.23974084481596947,0.1609240472316742,0.001
2,0.12747144740488794,0.08916501700878143,0.001
3,0.0708274668496516,0.018093036487698555,0.001
4,0.02427873434498906,0.0032240161672234535,0.001
5,0.022751171607524157,0.0017115359660238028,0.001
6,0.018644405321942434,0.0014378662453964353,0.001
7,0.018154816184606817,0.0011575758690014482,0.001
8,0.020269952197041776,0.0016813912661746144,0.001
9,0.015760396607220173,0.001290299347601831,0.001
10,0.014459521613187261,0.0008400733931921422,0.001
11,0.014065409984646572,0.0008417023927904665,0.001
12,0.012632032287203603,0.0009348600287921727,0.001
13,0.01189443851924605,0.0012956293066963553,0.001
14,0.013659670767891739,0.0011364453239366412,0.001
15,0.01300631967994074,0.0039313253946602345,0.001
16,0.0148450818637179,0.004150567576289177,0.001
17,0.013942327027002143,0.0011533937649801373,0.001
18,0.010533588110572763,0.001929668360389769,0.001
19,0.011418451477463046,0.0017739214235916734,0.001
20,0.011468672555767827,0.0008041229448281229,0.001
21,0.010769245913252234,0.0017491878243163228,0.001
22,0.011219423859276705,0.0032623482402414083,0.001
23,0.01191147248674598,0.00509015703573823,0.001
24,0.011213577999215987,0.0038034154567867517,0.001
25,0.009724104363057349,0.0022866877261549234,0.001
26,0.00935015567423155,0.0014500424731522799,0.001
27,0.010066501123623716,0.00036518072010949254,0.001
28,0.010237603293110928,0.0007684957236051559,0.001
29,0.01060116213435928,0.0005565892206504941,0.001
30,0.008992850030254986,0.0005522322608157992,0.001
31,0.007395400555752631,0.0018963313195854425,0.001
32,0.008016511034737859,0.0005068146856501698,0.001
33,0.007931599665122727,0.0010657160310074687,0.001
34,0.008707626645142833,0.0006173400906845927,0.001
35,0.010210190175308121,0.000510385085362941,0.001
36,0.009133415995165706,0.00040182325756177306,0.001
37,0.008081190883078508,0.0004065997200086713,0.001
38,0.008182636669112576,0.002933861454948783,0.001
39,0.008071524789556861,0.0010007643140852451,0.0005
40,0.008667573099955916,0.001516868593171239,0.0005
41,0.007863016035925183,0.00032881813240237534,0.0005
42,0.007216708398320609,0.0016682740533724427,0.0005
43,0.0068261850780497,0.0003505944914650172,0.0005
44,0.00865174431560768,0.0011899637756869197,0.0005
45,0.006959442508458678,0.0005415789200924337,0.0005
46,0.006710131135251787,0.0006712423637509346,0.0005
47,0.006834920689774056,0.00046582231880165637,0.0005
48,0.00835674913186166,0.0004510068101808429,0.0005
49,0.007600265736174252,0.00030684383818879724,0.0005
50,0.0075561051360434955,0.00042912201024591923,0.0005
51,0.0072458791158472495,0.0004342551401350647,0.0005
52,0.007291128975339234,0.0005888369050808251,0.0005
53,0.007105541040396525,0.0014576151734218001,0.0005
54,0.007812402922556632,0.0003467254573479295,0.0005
55,0.007768669346761372,0.0006115402793511748,0.0005
56,0.006622973861845417,0.0005816310876980424,0.0005
57,0.008030151676697036,0.00039043696597218513,0.0005
58,0.007250263704918325,0.0009533120901323855,0.0005
59,0.0062277328559300965,0.0010749681387096643,0.0005
60,0.005876511335372925,0.0007523949607275426,0.0005
61,0.006816429732781317,0.0008596424013376236,0.00025
62,0.0061367648498465615,0.00037131542921997607,0.00025
63,0.007867532937477032,0.0005789692513644695,0.00025
64,0.007920525916334655,0.000514351122546941,0.00025
65,0.006000309312690256,0.0005395687185227871,0.00025
66,0.005881760553974245,0.0009011480142362416,0.00025
67,0.006793049914348457,0.0004941358347423375,0.00025
68,0.006839769459070845,0.0006750561879016459,0.00025
69,0.008316548942174349,0.0004821353650186211,0.00025
70,0.007088687245009674,0.0005911766202189028,0.00025
71,0.005336619991188248,0.0003643929085228592,0.00025
72,0.005995095720411175,0.00036227345117367804,0.000125
73,0.006379866299943792,0.0005498709506355226,0.000125
74,0.0057457971205520965,0.00032053308677859604,0.000125
75,0.006894916114914749,0.00041808985406532884,0.000125
76,0.00568515767938354,0.0006755842478014529,0.000125
77,0.0064500621519982815,0.0005248142406344414,0.000125
78,0.006133345402001093,0.00032998775714077055,0.000125
79,0.006656045559793711,0.0004100903170183301,0.000125
