parcel_id,x_center,y_center,z_center,T_local_mean,T_local_std,p_local_mean,rho_local_mean,O2_mean,O2_std,C7H16_mean,C7H16_max,N2_mean,H2O_mean,CO2_mean,vel_mag_mean,vel_mag_max,vel_x_mean,vel_z_mean,distance_from_inlet,radial_distance
0,-0.0025000000000000005,0.0075,-0.0075,800.0,0.0,5000000.0,21.69,0.23400000000000007,5.551657833702738e-17,0.0,0,0.766,0.0,0.0,0.00010957025616937846,0.0002479500006413591,-6.8364265884652975e-09,-1.5683749032258065e-08,-0.0025000000000000005,0.01
1,-0.0025000000000000005,0.0075,-0.0025,800.0,0.0,5000000.0,21.69,0.23400000000000004,2.775856056757771e-17,0.0,0,0.7659999999999999,0.0,0.0,0.00012055334025485962,0.0002479400008431104,-5.575335989247312e-09,-1.6566434537634407e-08,-0.0025000000000000005,0.005
2,-0.0025000000000000005,0.0075,0.0025,800.0,0.0,5000000.0,21.69,0.23400000000000004,2.775856056757771e-17,0.0,0,0.7659999999999999,0.0,0.0,0.00012054085087541862,0.0002479100004516123,-3.3111417440860217e-09,-1.7661294752688174e-09,-0.0025000000000000005,0.0
3,-0.0025000000000000005,0.0225,-0.0075,800.0,0.0,5000000.0,21.69,0.23400000000000007,5.551657833702738e-17,0.0,0,0.766,0.0,0.0,0.0003286513203032986,0.000455330000420025,-1.0997206217008797e-08,1.182743978690127e-08,-0.0025000000000000005,0.018027756377319945
4,-0.0025000000000000005,0.0225,-0.0025,800.0,0.0,5000000.0,21.69,0.23400000000000004,2.775856056757771e-17,0.0,0,0.7659999999999999,0.0,0.0,0.00036157607262496947,0.0004553400016571792,-8.811114531182797e-09,3.112436559139785e-08,-0.0025000000000000005,0.015811388300841896
5,-0.0025000000000000005,0.0225,0.0025,800.0,0.0,5000000.0,21.69,0.23400000000000004,2.775856056757771e-17,0.0,0,0.7659999999999999,0.0,0.0,0.00036156958871388044,0.00045535000195454046,-6.906458150537633e-09,2.984804284946236e-08,-0.0025000000000000005,0.015
6,-0.0025000000000000005,0.0375,-0.0075,800.0,0.0,5000000.0,21.69,0.23400000000000007,5.551657833702738e-17,0.0,0,0.766,0.0,0.0,0.0004229589619607745,0.0004892000001910303,-6.3883230035190615e-09,1.5774207757575756e-09,-0.0025000000000000005,0.03162277660168379
7,-0.0025000000000000005,0.0375,-0.0025,800.0,0.0,5000000.0,21.69,0.23400000000000004,2.775856056757771e-17,0.0,0,0.7659999999999999,0.0,0.0,0.00046530867130752763,0.0004892000003239706,-7.645420793548387e-09,1.4659070967741935e-08,-0.0025000000000000005,0.0304138126514911
8,-0.0025000000000000005,0.0375,0.0025,800.0,0.0,5000000.0,21.69,0.23400000000000004,2.775856056757771e-17,0.0,0,0.7659999999999999,0.0,0.0,0.0004653153748215439,0.00048921000016804,-8.972425806451614e-09,2.046050322580645e-08,-0.0025000000000000005,0.03
9,-0.0025000000000000005,0.0525,-0.0075,800.0,0.0,5000000.0,21.69,0.23400000000000007,5.551657833702738e-17,0.0,0,0.766,0.0,0.0,0.00042751090428115254,0.0004894900002872888,-6.239888177908114e-09,1.8005383726295208e-08,-0.0025000000000000005,0.046097722286464436
10,-0.0025000000000000005,0.0525,-0.0025,800.0,0.0,5000000.0,21.69,0.23400000000000004,2.775856056757771e-17,0.0,0,0.7659999999999999,0.0,0.0,0.0004703033299779481,0.000489490000301712,-6.140139997849463e-09,1.6738338860215056e-08,-0.0025000000000000005,0.04527692569068708
11,-0.0025000000000000005,0.0525,0.0025,800.0,0.0,5000000.0,21.69,0.23400000000000004,2.775856056757771e-17,0.0,0,0.7659999999999999,0.0,0.0,0.00047031262711844064,0.0004894900002370415,-6.93426716344086e-09,-1.560082562795699e-08,-0.0025000000000000005,0.045
12,-0.0025000000000000005,0.0675,-0.0075,800.0,0.0,5000000.0,21.69,0.23400000000000007,5.551657833702738e-17,0.0,0,0.766,0.0,0.0,0.00028694520708539753,0.0004706500048979602,1.520814886217009e-07,5.31856285434995e-07,-0.0025000000000000005,0.0608276253029822
13,-0.0025000000000000005,0.0675,-0.0025,800.0,0.0,5000000.0,21.69,0.23400000000000004,2.775856056757771e-17,0.0,0,0.7659999999999999,0.0,0.0,0.00031509088270565534,0.0004705900085252236,1.420522122580645e-07,5.586828684946236e-07,-0.0025000000000000005,0.06020797289396147
14,-0.0025000000000000005,0.0675,0.0025,800.0,0.0,5000000.0,21.69,0.23400000000000004,2.775856056757771e-17,0.0,0,0.7659999999999999,0.0,0.0,0.00031499376054164454,0.00047063002197845387,1.6536532277419354e-07,-4.1237150215053764e-07,-0.0025000000000000005,0.06
15,-0.0025000000000000005,0.08249999999999999,-0.0075,800.0,0.0,5000000.0,21.69,0.23400000000000007,5.551657833702738e-17,0.0,0,0.766,1.713324532085122e-37,0.0,0.001496623202557244,0.004616999867836255,-1.0021496115347024e-06,-7.930072572668623e-05,-0.0025000000000000005,0.07566372975210778
16,-0.0025000000000000005,0.08249999999999999,-0.0025,800.0,0.0,5000000.0,21.69,0.23400000000000004,2.775856056757771e-17,0.0,0,0.7659999999999999,1.6845074818350463e-25,0.0,0.0014016683554776736,0.004661736560864417,-3.989314153182796e-05,-0.00015253957731397848,-0.0025000000000000005,0.07516648189186453
17,-0.0025000000000000005,0.08249999999999999,0.0025,800.0,0.0,5000000.0,21.69,0.23400000000000004,2.775856056757771e-17,0.0,0,0.7659999999999999,1.670923350529109e-25,0.0,0.0014290568115560402,0.004669680841353079,-3.8317974795698926e-05,0.00018278330377634406,-0.0025000000000000005,0.075
