parcel_id,initial_diameter_um,time_ms,diameter_um,T_K,p_Pa,rho_kg_m3,O2_fraction,C7H16_fraction,vel_mag_m_s,distance_from_inlet_m,radial_distance_m,evaporation_time_ms,emissions_proxy,diameter_fraction
0.0,10,0.0,10.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01,40.516418876546226,20258.209438273112,1.0
0.0,10,1.0,9.875822233632189,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01,40.516418876546226,19758.209438273112,0.9875822233632189
0.0,10,2.0,9.750063055211886,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01,40.516418876546226,19258.209438273112,0.9750063055211886
0.0,10,3.0,9.62266046220647,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01,40.516418876546226,18758.209438273112,0.962266046220647
0.0,10,4.0,9.493548291403775,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01,40.516418876546226,18258.209438273112,0.9493548291403775
0.0,10,5.0,9.3626558172091,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01,40.516418876546226,17758.209438273112,0.93626558172091
0.0,10,6.0,9.229907298658166,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01,40.516418876546226,17258.209438273112,0.9229907298658165
0.0,10,7.0,9.095221466909269,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01,40.516418876546226,16758.209438273112,0.9095221466909269
0.0,10,8.0,8.958510943367266,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01,40.516418876546226,16258.209438273112,0.8958510943367266
0.0,10,9.0,8.819681576606662,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01,40.516418876546226,15758.209438273112,0.8819681576606662
0.0,10,10.0,8.67863168379894,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01,40.516418876546226,15258.209438273112,0.8678631683798941
1.0,10,0.0,10.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005,40.516196392339154,20258.098196169576,1.0
1.0,10,1.0,9.875821547455084,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005,40.516196392339154,19758.098196169576,0.9875821547455084
1.0,10,2.0,9.750061665156597,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005,40.516196392339154,19258.098196169576,0.9750061665156597
1.0,10,3.0,9.622658349517266,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005,40.516196392339154,18758.098196169576,0.9622658349517266
1.0,10,4.0,9.493545436174648,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005,40.516196392339154,18258.098196169576,0.9493545436174647
1.0,10,5.0,9.362652198276436,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005,40.516196392339154,17758.098196169576,0.9362652198276435
1.0,10,6.0,9.229902893479906,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005,40.516196392339154,17258.098196169576,0.9229902893479907
1.0,10,7.0,9.095216251428377,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005,40.516196392339154,16758.098196169576,0.9095216251428377
1.0,10,8.0,8.958504891856956,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005,40.516196392339154,16258.098196169576,0.8958504891856955
1.0,10,9.0,8.819674661494215,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005,40.516196392339154,15758.098196169576,0.8819674661494215
1.0,10,10.0,8.67862387546443,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005,40.516196392339154,15258.098196169576,0.867862387546443
2.0,10,0.0,10.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0,40.51619664533498,20258.09832266749,1.0
2.0,10,1.0,9.875821548235367,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0,40.51619664533498,19758.09832266749,0.9875821548235366
2.0,10,2.0,9.750061666737293,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0,40.51619664533498,19258.09832266749,0.9750061666737293
2.0,10,3.0,9.622658351919705,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0,40.51619664533498,18758.09832266749,0.9622658351919705
2.0,10,4.0,9.493545439421464,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0,40.51619664533498,18258.09832266749,0.9493545439421464
